20120700,(31日は170地点),。,(気象庁予報部予報課)
20120701,(日),北海道で真夏日,梅雨前線に南から湿った空気が流入し西~東日本で雨、九州~四国は局地的な大雨。大分県玖珠で64mm/1h。沖縄や西日本の太平洋岸の他、高気圧に覆われた北海道北部でも真夏日。
20120702,(月),九州で局地的な大雨,近畿~東海は梅雨の晴れ間広がり気温上昇、各地で真夏日、岐阜県多治見で最高気温33.3℃。九州では、前線活動が活発化、熊本県では湯前町湯前横谷で63mm/1hなど激しい雨。
20120703,(火),九州・中国などで大雨,前線活動が活発化、九州~関東は雨。福岡県添田町英彦山86.5mm/1h、大分県中津市耶馬渓91mm/1h、203.5mm/3hと観測史上1位更新、西日本中心の大雨。北日本は概ね曇り。
20120704,(水),九州北部大雨続く,梅雨前線が停滞し九州北部~近畿は雨。福岡県八女市黒木で71mm/h。太平洋高気圧に覆われた沖縄・奄美は晴れ。東日本も晴れて各地で真夏日。盛岡市でヤマハギ開花。
20120705,(木),前線と上層寒気で雷雨,前線付近の日本海側で雷雨。上層寒気の通過で東・北日本は激しい雷雨、北海道下川で43.5mm/1hの観測史上1位の雨、青森県弘前市で竜巻、群馬県太田市でも突風。
20120706,(金),各地で局地的な雨,広範囲で大気の状態が不安定となり、沖縄を除く全国各地で局地的な雨や雷。梅雨前線近傍の中国~近畿は、島根県出雲市佐田で74mm/1hなど各地で非常に激しい雨。
20120707,(土),大気の状態、不安定,梅雨前線はゆっくり南下、西日本~東日本の上空に寒気が入り、大気の状態が非常に不安定、所々で激しい雨。宮崎県都城市山田では66.5mm/1h、岡山県各地でも短時間強雨。
20120708,(日),今年初の猛暑日,前線活動と寒気の影響で、奄美や中国~関東の所々で雨。鹿児島県伊仙69.5mm/1h。その他は曇りや晴れ、沖縄県石垣市伊原間で最高気温36.1℃。全国73地点で真夏日。
20120709,(月),晴れの地域広がる,日本海の高気圧に覆われ九州から東北南部まで晴れ。沖縄は南下した前線の影響で雨。北海道は低気圧の影響で雨。鹿児島県与論島で59mm/1h。山口県下関市でヒグラシ初鳴。
20120710,(火),梅雨の中休み,日本海の高気圧に覆われ広く晴れて各地気温上昇。真夏日303地点。梅雨前線付近の沖縄や奄美では所々で雨。北海道の一部でも低気圧により所々で曇り。長野県北部で震度5弱。
20120711,(水),1時間103mmの雨,湿った気流が南から流入し九州や四国では激しい雨。鹿児島県南種子町上中では103mm/1hの猛烈な雨。沖縄や東日本は晴れて、新潟市新津では沖縄以外で今年初めての猛暑日。
20120712,(木),九州北部記録的な大雨,引き続き湿った気流の影響で、熊本県阿蘇市阿蘇乙姫で108mm/1h 、288.5mm/3h、507.5mm/24hなど。九州北部で短文気象情報“経験したことのないような大雨”を初めて発表。
20120713,(金),九州などで大雨続く,梅雨前線が本州付近に停滞。九州~中国は雨、鹿児島県霧島市溝辺で101mm/1hと観測史上1位を更新する猛烈な雨、210.5mm/3hも記録更新。九州各地で猛烈及び非常に激しい雨。
20120714,(土),引き続き九州で大雨,梅雨前線に流れ込んだ非常に湿った気流の影響で大気の状態が不安定となり九州北部で猛烈な雨。福岡県八女市黒木では486mm/24h。神奈川県山北町丹沢湖でも104.5mm/1hの雨。
20120715,(日),梅雨前線は東北へ北上,梅雨前線は東北まで北上。岐阜県郡上市八幡で60mm/1hの雨。大雨が続いていた西日本も晴れて気温上昇し、大分県中津市中津で36.1℃。奈良市でアブラゼミの初鳴。
20120716,(月),台風第7号発生,晴れて気温が上昇し、青森と北海道を除く45都府県で真夏日、60地点で猛暑日。梅雨前線の影響で九州と東北は局地的な雨。大分県日田市三本松で70mm/1hの雨。
20120717,(火),各地で梅雨明け発表,梅雨前線が北上し、四国・中国・近畿・東海・関東甲信で梅雨明け発表。太平洋高気圧に覆われた西・東日本では気温が上昇し、真夏日や猛暑日の地点多数。群馬県館林で39.2℃。
20120718,(水),北陸で梅雨明け発表,高気圧に覆われ東・西日本中心に晴れて真夏日、九州北部~関東は77地点で猛暑日。午後は山沿いで局地的な雷雨、沖縄~九州も台風第7号の影響で雨。北陸で梅雨明け発表。
20120719,(木),東京で初の猛暑日,南からの湿った気流の影響で九州では雨。中国~東日本は晴れて最高気温は平年より高く、北日本はオホーツク海高気圧の影響で平年より低め。台風第7号は熱帯低気圧に。
20120720,(金),気温低下と大雨,オホーツク海高気圧の影響で関東以北の太平洋側は最高気温が平年より低め。西・東日本の所々で暖湿流による局地的大雨、兵庫県宍粟市一宮町の86.5mm/1hは観測史上1位更新。
20120721,(土),東海以北気温上がらず,暖かく湿った空気が流入した九州や近畿~北陸は局地的な雨。岡山県吉備中央で65mm/1hの非常に激しい雨。冷たい北東風が続いた東海以北は最高気温が4~5月並の所も。
20120722,(日),西日本で局地的大雨,西日本は全般的に晴れたが、大気の状態が不安定になり、午後山沿いを中心に非常に激しい雨。宮崎県都城市菖蒲原町では96.5mm/1h。東海~東北太平洋側、気温の低い状態続く。
20120723,(月),九州で梅雨明け発表,東~北日本は湿った気流の影響で雲多く、西日本は高気圧の圏内で晴れて各地で真夏日、山沿いでは雷雨。熊本県山江で58mm/1h。全国的に気温、ほぼ平年並か高めに戻る。
20120724,(火),各地で雷雨,西日本は高気圧に覆われて晴れて蒸し暑い。そのため午後は各地で雷雨が発生。東~北日本は上空の気圧の谷の影響で曇りや雨。山口市徳佐で40mm/1hの雨。
20120725,(水),台風第8号熱帯低気圧へ,関東以西では高気圧に覆われて概ね晴れ、北陸から北日本では曇り。午後からは気圧の谷の通過で、関東から北の所々で雨や雷。静岡県浜松市越木平で48.5mm/1hの雨。
20120726,(木),東北で梅雨明けを発表,高気圧に覆われて晴れ、全国的に気温上昇。秋田を除く46都道府県で真夏日。猛暑日は111地点で今年初の3桁。午後は山沿いで局地的な雨。東北南部・北部で梅雨明けを発表。
20120727,(金),全国的に気温上昇,高気圧に覆われ晴れて、昨日梅雨明けを発表した東北も含め広い範囲で気温上昇。岐阜県多治見38.5℃、群馬県館林37.9℃など。47都道府県で真夏日、33都府県で猛暑日。
20120728,(土),台風第9号、10号発生,全国的に高気圧の圏内で晴れ、中国~関東で局地的雷雨、広島県庄原市東城69.5mm/1h。茨城県大子38.3℃、九州~東北で猛暑日。北海道で最高気温が平年比約10℃高い。
20120729,(日),2つの台風、西へ,昨日発生した台風第9号は北西に、第10号はゆっくりと西へ進む。西日本に中心を持つ高気圧に覆われ全国的に晴れて暑い。午後は山沿いで雷雨。滋賀県甲賀市信楽で52.5mm/1h。
20120730,(月),全国的に真夏日,日本列島は高気圧に覆われ、全国的に真夏日。大気の状態が不安定な東北南部等で雷雨。新潟県魚沼市大湯と福島県浪江町津島で59.5mm/1h。横浜市でヒグラシの初鳴。
20120731,(火),暑さ続く,広く晴れて5日連続全ての都道府県で真夏日。沖縄・奄美は台風第9号接近による雨。北海道は低気圧通過による雨や雷。北海道士別市朝日で53.5mm/1h。網走でひょうを観測。
